frame_num,timestamp_ms,elapsed_ms,cmd_id,sequence,length,payload_hex,raw_hex
1,12885,0,0xA0D0,0,26,F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 00 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 4E 9F
2,12887,2,0xA021,0,36,50 15 7E 2D 98 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00,55 24 00 21 A0 01 00 00 50 15 7E 2D 98 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 AA F1
3,12897,12,0xA0D0,1,26,AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 01 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 DA 09
4,12900,15,0xA021,0,36,52 15 07 00 98 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00,55 24 00 21 A0 01 00 00 52 15 07 00 98 00 00 00 00 00 00 00 00 00 00 00 02 00 00 00 00 00 00 00 00 00 8E 2A
5,12907,22,0xA0D0,1,26,AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 01 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 DA 09
6,12917,32,0xA0D0,2,26,AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 02 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 3C AB
7,12927,42,0xA0D0,2,26,AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 02 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 AC 03 3C AB
8,12937,52,0xA0D0,3,26,AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 BF 29
9,12947,62,0xA0D0,3,26,AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 AC 03 BF 29
10,12957,72,0xA0D0,4,26,AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 04 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 E6 0C
11,12967,82,0xA0D0,4,26,AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 40 04 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 AC 03 E6 0C
12,12977,92,0xA0D0,5,26,AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03,55 1A 00 D0 A0 00 40 05 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 D6 4F
13,12987,102,0xA0D0,5,26,AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03,55 1A 00 D0 A0 00 40 05 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 AC 03 D6 4F
14,12997,112,0xA0D0,6,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03,55 1A 00 D0 A0 00 40 06 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 00 8D
15,13007,122,0xA0D0,6,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03,55 1A 00 D0 A0 00 40 06 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 AC 03 00 8D
16,13017,132,0xA0D0,7,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01,55 1A 00 D0 A0 00 40 07 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 5C 26
17,13027,142,0xA0D0,7,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01,55 1A 00 D0 A0 00 40 07 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 F4 01 5C 26
18,13037,152,0xA0D0,0,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 00 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 5B AA
19,13040,155,0xA021,0,36,51 15 07 00 98 00 00 00 00 00 00 00 00 00 00 00 03 00 00 00 00 00 40 00 00 00,55 24 00 21 A0 01 00 00 51 15 07 00 98 00 00 00 00 00 00 00 00 00 00 00 03 00 00 00 00 00 40 00 00 00 FF 4F
20,13047,162,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 0C 01 00 40 0C C0 01 02 01 00 00 00 AB 94
21,13049,164,0x0C03,0,19,C0 0C C0 00 02 01 00 00 00,55 13 04 03 0C 03 01 00 C0 0C C0 00 02 01 00 00 00 08 E9
22,13062,177,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 2C 02 00 40 0C C0 01 02 01 00 00 00 A8 41
23,13077,192,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 4C 03 00 40 0C C0 01 02 01 00 00 00 E9 68
24,13092,207,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 6C 04 00 40 0C C0 01 02 01 00 00 00 BF E3
25,13107,222,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 8C 05 00 40 0C C0 01 02 01 00 00 00 3E 64
26,13122,237,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 AC 06 00 40 0C C0 01 02 01 00 00 00 3D B1
27,13137,252,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 CC 07 00 40 0C C0 01 02 01 00 00 00 7C 98
28,13152,267,0x0303,0,19,40 0C C0 01 02 01 00 00 00,55 13 04 03 03 EC 08 00 40 0C C0 01 02 01 00 00 00 80 AF
29,13167,282,0xA0D0,1,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 54 BA
30,13177,292,0xA0D0,2,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 02 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 45 8A
31,13187,302,0xA0D0,3,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 4A 9A
32,13197,312,0xA0D0,4,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 04 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 67 EA
33,13207,322,0xA0D0,5,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 05 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 68 FA
34,13217,332,0xA0D0,6,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 06 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 79 CA
35,13227,342,0xA0D0,7,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 07 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 76 DA
36,13237,352,0xA0D0,0,26,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55 1A 00 D0 A0 00 00 00 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 5B AA
