frame_num,total_bytes,sync,length,flags,cmd_id,reserved,sequence,payload_hex,checksum,raw_hex
1,26,85,26,0,41168,0,7,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55926,55 1A 00 D0 A0 00 00 07 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 76 DA
2,26,85,26,0,41168,0,0,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,43611,55 1A 00 D0 A0 00 00 00 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 5B AA
3,36,85,36,0,40993,1,0,65 15 07 00 5F 00 00 00 B1 03 00 00 00 00 00 80 29 B0 00 00 00 00 80 3D 00 00,12998,55 24 00 21 A0 01 00 00 65 15 07 00 5F 00 00 00 B1 03 00 00 00 00 00 80 29 B0 00 00 00 00 80 3D 00 00 C6 32
4,26,85,26,0,41168,0,1,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,47700,55 1A 00 D0 A0 00 00 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 54 BA
5,26,85,26,0,41168,0,2,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,35397,55 1A 00 D0 A0 00 00 02 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 45 8A
6,26,85,26,0,41168,0,3,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,39498,55 1A 00 D0 A0 00 00 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 4A 9A
7,26,85,26,0,41168,0,4,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,60007,55 1A 00 D0 A0 00 00 04 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 67 EA
8,26,85,26,0,41168,0,5,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,64104,55 1A 00 D0 A0 00 00 05 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 68 FA
9,26,85,26,0,41168,0,6,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,51833,55 1A 00 D0 A0 00 00 06 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 79 CA
10,26,85,26,0,41168,0,7,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,55926,55 1A 00 D0 A0 00 00 07 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 76 DA
11,26,85,26,0,41168,0,0,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,43611,55 1A 00 D0 A0 00 00 00 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 5B AA
12,36,85,36,0,40993,1,0,63 15 07 00 5F 00 00 00 B1 03 00 00 00 00 00 80 2A B0 00 00 00 00 40 3E 00 00,11728,55 24 00 21 A0 01 00 00 63 15 07 00 5F 00 00 00 B1 03 00 00 00 00 00 80 2A B0 00 00 00 00 40 3E 00 00 D0 2D
13,26,85,26,0,41168,0,1,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,47700,55 1A 00 D0 A0 00 00 01 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 54 BA
14,26,85,26,0,41168,0,2,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,35397,55 1A 00 D0 A0 00 00 02 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 45 8A
15,26,85,26,0,41168,0,3,AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03,39498,55 1A 00 D0 A0 00 00 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03 4A 9A
16,20,85,26,0,41168,0,4,AC 03 AC 03 AC 03 AC 03 AC 03,940,55 1A 00 D0 A0 00 00 04 AC 03 AC 03 AC 03 AC 03 AC 03 AC 03
