UART,Time,Rx,Rx Err
1,40.2112ms,,Over Length
2,40.2112ms,,
3,40.3414ms,0xAC,
4,40.3414ms,,
5,40.4281ms,0x03,
6,40.4281ms,,
7,40.5149ms,0x79,
8,40.5149ms,,
9,40.6017ms,0xCA,
10,40.6017ms,,
11,48.4258ms,0x55,
12,48.4258ms,,
13,48.5125ms,0x1A,
14,48.5125ms,,
15,48.5993ms,0x00,
16,48.5993ms,,
17,48.6861ms,0xD0,
18,48.6861ms,,
19,48.7729ms,0xA0,
20,48.7729ms,,
21,48.8597ms,0x00,
22,48.8597ms,,
23,48.9465ms,0x00,
24,48.9465ms,,
25,49.0333ms,0x07,
26,49.0333ms,,
27,49.1201ms,0xAC,
28,49.1201ms,,
29,49.2069ms,0x03,
30,49.2069ms,,
31,49.2936ms,0xAC,
32,49.2936ms,,
33,49.3804ms,0x03,
34,49.3804ms,,
35,49.4672ms,0xAC,
36,49.4672ms,,
37,49.5540ms,0x03,
38,49.5540ms,,
39,49.6408ms,0xAC,
40,49.6408ms,,
41,49.7276ms,0x03,
42,49.7276ms,,
43,49.8144ms,0xAC,
44,49.8144ms,,
45,49.9012ms,0x03,
46,49.9012ms,,
47,49.9880ms,0xAC,
48,49.9880ms,,
49,50.0747ms,0x03,
50,50.0747ms,,
51,50.1615ms,0xAC,
52,50.1615ms,,
53,50.2483ms,0x03,
54,50.2483ms,,
55,50.3351ms,0xAC,
56,50.3351ms,,
57,50.4219ms,0x03,
58,50.4219ms,,
59,50.5087ms,0x76,
60,50.5087ms,,
61,50.5955ms,0xDA,
62,50.5955ms,,
63,58.4487ms,0x55,
64,58.4487ms,,
65,58.5355ms,0x1A,
66,58.5355ms,,
67,58.6223ms,0x00,
68,58.6223ms,,
69,58.7091ms,0xD0,
70,58.7091ms,,
71,58.7959ms,0xA0,
72,58.7959ms,,
73,58.8827ms,0x00,
74,58.8827ms,,
75,58.9694ms,0x00,
76,58.9694ms,,
77,59.0562ms,0x00,
78,59.0562ms,,
79,59.1430ms,0xAC,
80,59.1430ms,,
81,59.2298ms,0x03,
82,59.2298ms,,
83,59.3166ms,0xAC,
84,59.3166ms,,
85,59.4034ms,0x03,
86,59.4034ms,,
87,59.4902ms,0xAC,
88,59.4902ms,,
89,59.5770ms,0x03,
90,59.5770ms,,
91,59.6637ms,0xAC,
92,59.6637ms,,
93,59.7505ms,0x03,
94,59.7505ms,,
95,59.8373ms,0xAC,
96,59.8373ms,,
97,59.9241ms,0x03,
98,59.9241ms,,
99,60.0109ms,0xAC,
100,60.0109ms,,
101,60.0977ms,0x03,
102,60.0977ms,,
103,60.1845ms,0xAC,
104,60.1845ms,,
105,60.2713ms,0x03,
106,60.2713ms,,
107,60.3581ms,0xAC,
108,60.3581ms,,
109,60.4448ms,0x03,
110,60.4448ms,,
111,60.5316ms,0x5B,
112,60.5316ms,,
113,60.6184ms,0xAA,
114,60.6184ms,,
115,61.1152ms,0x55,
116,61.1152ms,,
117,61.2010ms,0x24,
118,61.2010ms,,
119,61.2869ms,0x00,
120,61.2869ms,,
121,61.3728ms,0x21,
122,61.3728ms,,
123,61.4587ms,0xA0,
124,61.4587ms,,
125,61.5445ms,0x01,
126,61.5445ms,,
127,61.6304ms,0x00,
128,61.6304ms,,
129,61.7163ms,0x00,
130,61.7163ms,,
131,61.8022ms,0x65,
132,61.8022ms,,
133,61.8881ms,0x15,
134,61.8881ms,,
135,61.9739ms,0x07,
136,61.9739ms,,
137,62.0598ms,0x00,
138,62.0598ms,,
139,62.1457ms,0x5F,
140,62.1457ms,,
141,62.2315ms,0x00,
142,62.2315ms,,
143,62.3174ms,0x00,
144,62.3174ms,,
145,62.4033ms,0x00,
146,62.4033ms,,
147,62.4892ms,0xB1,
148,62.4892ms,,
149,62.5751ms,0x03,
150,62.5751ms,,
151,62.6610ms,0x00,
152,62.6610ms,,
153,62.7469ms,0x00,
154,62.7469ms,,
155,62.8328ms,0x00,
156,62.8328ms,,
157,62.9187ms,0x00,
158,62.9187ms,,
159,63.0046ms,0x00,
160,63.0046ms,,
161,63.0905ms,0x80,
162,63.0905ms,,
163,63.1764ms,0x29,
164,63.1764ms,,
165,63.2623ms,0xB0,
166,63.2623ms,,
167,63.3483ms,0x00,
168,63.3483ms,,
169,63.4342ms,0x00,
170,63.4342ms,,
171,63.5201ms,0x00,
172,63.5201ms,,
173,63.6060ms,0x00,
174,63.6060ms,,
175,63.6919ms,0x80,
176,63.6919ms,,
177,63.7778ms,0x3D,
178,63.7778ms,,
179,63.8637ms,0x00,
180,63.8637ms,,
181,63.9495ms,0x00,
